f,z10r,z10i
1.02770277027701e+05,-6.17406029176520e-02,-1.02949614438931e+01
1.02780278027801e+05,-6.05175378591473e-02,-1.03707630616663e+01
1.02790279027901e+05,-5.93411087998985e-02,-1.04450505297634e+01
1.02800280028001e+05,-5.82090790429565e-02,-1.05178811476018e+01
1.02810281028101e+05,-5.71193460134979e-02,-1.05893094860622e+01
1.02820282028201e+05,-5.60699317526884e-02,-1.06593875500343e+01
1.02830283028301e+05,-5.50589741890667e-02,-1.07281649295138e+01
1.02840284028401e+05,-5.40847191156014e-02,-1.07956889401866e+01
1.02850285028501e+05,-5.31455128080122e-02,-1.08620047543403e+01
1.02860286028601e+05,-5.22397952264429e-02,-1.09271555228742e+01
1.02870287028701e+05,-5.13660937484206e-02,-1.09911824891052e+01
1.02880288028801e+05,-5.05230173861882e-02,-1.10541250950086e+01
1.02890289028901e+05,-4.97092514461212e-02,-1.11160210804728e+01
1.02900290029001e+05,-4.89235525920267e-02,-1.11769065761013e+01
1.02910291029101e+05,-4.81647442778425e-02,-1.12368161900440e+01
1.02920292029201e+05,-4.74317125184589e-02,-1.12957830893058e+01
1.02930293029301e+05,-4.67234019704131e-02,-1.13538390759355e+01
1.02940294029401e+05,-4.60388122967707e-02,-1.14110146584704e+01
1.02950295029501e+05,-4.53769947929319e-02,-1.14673391189772e+01
1.02960296029601e+05,-4.47370492521726e-02,-1.15228405760040e+01
1.02970297029701e+05,-4.41181210516795e-02,-1.15775460437334e+01
1.02980298029801e+05,-4.35193984415609e-02,-1.16314814876000e+01
1.02990299029901e+05,-4.29401100208349e-02,-1.16846718766199e+01
1.03000300030001e+05,-4.23795223858372e-02,-1.17371412326559e+01
1.03010301030101e+05,-4.18369379377342e-02,-1.17889126768280e+01
1.03020302030201e+05,-4.13116928369775e-02,-1.18400084732597e+01
1.03030303030301e+05,-4.08031550935695e-02,-1.18904500703398e+01
1.03040304030401e+05,-4.03107227829710e-02,-1.19402581396612e+01
1.03050305030501e+05,-3.98338223782819e-02,-1.19894526127922e+01
1.03060306030601e+05,-3.93719071901729e-02,-1.20380527160173e+01
1.03070307030701e+05,-3.89244559066828e-02,-1.20860770031799e+01
1.03080308030801e+05,-3.84909712256754e-02,-1.21335433867483e+01
1.03090309030901e+05,-3.80709785733134e-02,-1.21804691672160e+01
1.03100310031001e+05,-3.76640249024580e-02,-1.22268710609401e+01
1.03110311031101e+05,-3.72696775653467e-02,-1.22727652265174e+01
1.03120312031201e+05,-3.68875232554012e-02,-1.23181672897851e+01
1.03130313031301e+05,-3.65171670133638e-02,-1.23630923675318e+01
1.03140314031401e+05,-3.61582312933706e-02,-1.24075550899962e+01
1.03150315031501e+05,-3.58103550848810e-02,-1.24515696222269e+01
1.03160316031601e+05,-3.54731930867154e-02,-1.24951496843702e+01
1.03170317031701e+05,-3.51464149297060e-02,-1.25383085709501e+01
1.03180318031801e+05,-3.48297044447637e-02,-1.25810591691990e+01
1.03190319031901e+05,-3.45227589733661e-02,-1.26234139764945e+01
1.03200320032001e+05,-3.42252887177131e-02,-1.26653851169539e+01
1.03210321032101e+05,-3.39370161279897e-02,-1.27069843572349e+01
1.03220322032201e+05,-3.36576753243642e-02,-1.27482231215868e+01
1.03230323032301e+05,-3.33870115515184e-02,-1.27891125061953e+01
1.03240324032401e+05,-3.31247806636530e-02,-1.28296632928613e+01
1.03250325032501e+05,-3.28707486380897e-02,-1.28698859620479e+01
1.03260326032602e+05,-3.26246911156739e-02,-1.29097907053340e+01
1.03270327032702e+05,-3.23863929663563e-02,-1.29493874373044e+01
1.03280328032802e+05,-3.21556478784059e-02,-1.29886858069091e+01
1.03290329032902e+05,-3.19322579698383e-02,-1.30276952083190e+01
1.03300330033002e+05,-3.17160334207230e-02,-1.30664247913061e+01
1.03310331033102e+05,-3.15067921251352e-02,-1.31048834711736e+01
1.03320332033202e+05,-3.13043593615974e-02,-1.31430799382591e+01
1.03330333033302e+05,-3.11085674809223e-02,-1.31810226670349e+01
1.03340334033402e+05,-3.09192556104664e-02,-1.32187199248245e+01
1.03350335033502e+05,-3.07362693738349e-02,-1.32561797801580e+01
1.03360336033602e+05,-3.05594606251731e-02,-1.32934101107831e+01
1.03370337033702e+05,-3.03886871972137e-02,-1.33304186113508e+01
1.03380338033802e+05,-3.02238126623146e-02,-1.33672128007912e+01
1.03390339033902e+05,-3.00647061057672e-02,-1.34038000293979e+01
1.03400340034002e+05,-2.99112419106989e-02,-1.34401874856326e+01
1.03410341034102e+05,-2.97632995539437e-02,-1.34763822026668e+01
1.03420342034202e+05,-2.96207634122824e-02,-1.35123910646733e+01
1.03430343034302e+05,-2.94835225785073e-02,-1.35482208128791e+01
1.03440344034402e+05,-2.93514706867851e-02,-1.35838780513931e+01
1.03450345034502e+05,-2.92245057468336e-02,-1.36193692528195e+01
1.03460346034602e+05,-2.91025299864539e-02,-1.36547007636676e+01
1.03470347034702e+05,-2.89854497019931e-02,-1.36898788095682e+01
1.03480348034802e+05,-2.88731751163287e-02,-1.37249095003064e+01
1.03490349034902e+05,-2.87656202440014e-02,-1.37597988346804e+01
1.03500350035002e+05,-2.86627027631412e-02,-1.37945527051947e+01
1.03510351035102e+05,-2.85643438938515e-02,-1.38291769025952e+01
1.03520352035202e+05,-2.84704682827380e-02,-1.38636771202567e+01
1.03530353035302e+05,-2.83810038932920e-02,-1.38980589584265e+01
1.03540354035402e+05,-2.82958819018449e-02,-1.39323279283354e+01
1.03550355035502e+05,-2.82150365988409e-02,-1.39664894561799e+01
1.03560356035602e+05,-2.81384052951803e-02,-1.40005488869834e+01
1.03570357035702e+05,-2.80659282334027e-02,-1.40345114883424e+01
1.03580358035802e+05,-2.79975485034985e-02,-1.40683824540639e+01
1.03590359035902e+05,-2.79332119631424e-02,-1.41021669076997e+01
1.03600360036002e+05,-2.78728671621600e-02,-1.41358699059817e+01
1.03610361036102e+05,-2.78164652710490e-02,-1.41694964421666e+01
1.03620362036202e+05,-2.77639600133871e-02,-1.42030514492905e+01
1.03630363036302e+05,-2.77153076019680e-02,-1.42365398033429e+01
